3;1;2
8;2;6
11;3;8
16;4;12
18;5;13
20;6;14
22;7;15
24;8;16
26;9;17
28;10;18
30;11;19
32;12;20
34;13;21
36;14;22
38;15;23
40;16;24
42;17;25
44;18;26
46;19;27
48;20;28
50;21;29
52;22;30
54;23;31
56;24;32
58;25;33
60;26;34
62;27;35
64;28;36
66;29;37
31;30;1
33;31;2
35;32;3
37;33;4
39;34;5
41;35;6
43;36;7
45;37;8
47;38;9
49;39;10
51;40;11
53;41;12
55;42;13
57;43;14
59;44;15
61;45;16
63;46;17
65;47;18
67;48;19
69;49;20
71;50;21
73;51;22
75;52;23
77;53;24
79;54;25
178;55;123
180;56;124
182;57;125
184;58;126
186;59;127
188;60;128
190;61;129
192;62;130
194;63;131
196;64;132
198;65;133
200;66;134
202;67;135
204;68;136
206;69;137
208;70;138
210;71;139
212;72;140
214;73;141
216;74;142
218;75;143
220;76;144
222;77;145
224;78;146
226;79;147
228;80;148
230;81;149
232;82;150
234;83;151
236;84;152
238;85;153
240;86;154
242;87;155
244;88;156
246;89;157
248;90;158
250;91;159
252;92;160
254;93;161
256;94;162
258;95;163
260;96;164
262;97;165
264;98;166
266;99;167
268;100;168
270;101;169
272;102;170
274;103;171
276;104;172
278;105;173
280;106;174
282;107;175
284;108;176
