24;1
27;2
32;3
39;4
48;5
59;6
72;7
87;8
104;9
123;10
144;11
167;12
192;13
219;14
248;15
279;16
312;17
347;18
384;19
423;20
464;21
507;22
552;23
599;24
648;25
699;26
752;27
807;28
864;29
923;30
984;31
1047;32
1112;33
1179;34
1248;35
1319;36
1392;37
1467;38
1544;39
1623;40
1704;41
1787;42
1872;43
1959;44
2048;45
2139;46
2232;47
2327;48
2424;49
2523;50
2624;51
2727;52
2832;53
2939;54
3048;55
3159;56
3272;57
3387;58
3504;59
3623;60
3744;61
3867;62
3992;63
4119;64
4248;65
4379;66
4512;67
4647;68
4784;69
4923;70
5064;71
5207;72
5352;73
5499;74
5648;75
5799;76
5952;77
6107;78
6264;79
6423;80
6584;81
6747;82
6912;83
7079;84
7248;85
7419;86
7592;87
7767;88
7944;89
8123;90
8304;91
8487;92
8672;93
8859;94
9048;95
9239;96
9432;97
9627;98
9824;99
10023;100
